dia	mes	ano	vazao
21	2	2018	110.064
20	2	2018	115.75
19	2	2018	168.16
18	2	2018	174.538
17	2	2018	182.175
16	2	2018	187.759
15	2	2018	257.986
14	2	2018	331.718
13	2	2018	347.635
12	2	2018	421.714
11	2	2018	650.934
10	2	2018	968.808
9	2	2018	1430.45
8	2	2018	2036.96
7	2	2018	1996.18
6	2	2018	231.249
5	2	2018	57.4321
4	2	2018	54.8442
3	2	2018	51.8396
2	2	2018	49.8968
1	2	2018	51.8396
31	1	2018	47.5352
30	1	2018	50.8623
29	1	2018	51.3494
28	1	2018	49.4186
27	1	2018	51.8396
26	1	2018	55.3556
25	1	2018	56.9083
24	1	2018	51.8396
23	1	2018	54.8442
22	1	2018	57.4321
21	1	2018	57.9589
20	1	2018	60.0974
19	1	2018	63.3994
18	1	2018	66.8163
17	1	2018	70.9501
16	1	2018	77.7733
15	1	2018	88.4317
14	1	2018	92.6587
13	1	2018	100.742
12	1	2018	110.064
11	1	2018	115.75
10	1	2018	147.024
9	1	2018	174.538
8	1	2018	100.742
7	1	2018	79.0576
6	1	2018	74.0015
5	1	2018	70.3497
4	1	2018	64.5255
3	1	2018	67.9811
2	1	2018	70.9501
1	1	2018	75.8723
31	12	2017	78.4137
30	12	2017	83.66
29	12	2017	88.4317
28	12	2017	91.2355
27	12	2017	94.8201
26	12	2017	100.742
25	12	2017	106.115
24	12	2017	111.67
23	12	2017	152.876
22	12	2017	211.198
21	12	2017	218.58
20	12	2017	224.857
19	12	2017	233.838
18	12	2017	285.16
17	12	2017	415.22
16	12	2017	787.662
15	12	2017	1207.17
14	12	2017	664.493
13	12	2017	307.869
12	12	2017	294.109
11	12	2017	360.419
10	12	2017	235.139
9	12	2017	176.699
8	12	2017	183.283
7	12	2017	202.792
6	12	2017	66.2388
5	12	2017	70.9501
4	12	2017	59.0219
3	12	2017	55.3556
2	12	2017	56.3877
1	12	2017	
30	11	2017	75.2453
29	11	2017	75.2453
28	11	2017	82.3278
