lags,lags_label,params,mean_absolute_percentage_error,depth,iterations,l2_leaf_reg,learning_rate
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.001}",0.11795576354781276,10.0,1500.0,3.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.001}",0.11962592284827529,10.0,1500.0,5.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.001}",0.11971537595406724,10.0,1500.0,3.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.001}",0.11976658074275529,10.0,1500.0,1.0,0.001
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.001}",0.12254016542052355,10.0,1500.0,3.0,0.001
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.001}",0.1225687096955289,10.0,1500.0,1.0,0.001
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.001}",0.12277985151325067,10.0,1500.0,5.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.001}",0.12611720200693774,6.0,1500.0,1.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.001}",0.1261522534337928,6.0,1500.0,5.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.001}",0.12632477486797122,6.0,1500.0,3.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.001}",0.1267569264640128,6.0,1500.0,3.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.001}",0.12683576214086947,6.0,1500.0,5.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.001}",0.12709335492782228,6.0,1500.0,1.0,0.001
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.001}",0.12892179056317252,6.0,1500.0,5.0,0.001
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.001}",0.12905538469608907,6.0,1500.0,1.0,0.001
[1 2 3 4 5 6 7],[1 2 3 4 5 6 7],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.001}",0.1290624502047734,6.0,1500.0,3.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.001}",0.14366628310567464,2.0,1500.0,5.0,0.001
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 2, 'iterations': 1500, 'l2_leaf_reg': 1.0, 'learning_rate': 0.001}",0.1436690021033292,2.0,1500.0,1.0,0.001
