ds	y	chuva1	vazao1	chuva2	vazao2	chuva3	vazao3	chuva4	vazao4	chuva5	vazao5	chuva6	vazao6
2016-07-20	55.718	0.0	27.35										30.422
2016-07-19	55.159	0.0	27.106250000000003										30.112
2016-07-18	56.278	0.0	28.296875										30.112
2016-07-17	56.839	0.0	28.43645833333333										30.112
2016-07-16	57.402	0.0	29.176041666666663										30.112
2016-07-15	57.402	0.0	30.016666666666666										30.112
2016-07-14	57.402	0.0	30.390625										31.366
2016-07-13	56.278	0.0	29.447916666666668										31.366
2016-07-12	57.965	0.0	29.59583333333333										31.366
2016-07-11	58.53	0.0	29.871875										30.422
2016-07-10	60.231	0.0	30.9										30.112
2016-07-09	60.231	0.0	31.117708333333336										30.422
2016-07-08	61.371	0.0	31.34583333333333										31.049
2016-07-07	60.801	0.0	32.1										31.366
2016-07-06	61.943	0.0	31.83125										31.366
2016-07-05	62.516	0.0	31.791666666666668										31.366
2016-07-04	63.09	0.0	31.784375										31.366
2016-07-03	63.09	0.0	32.02291666666667										32.006
2016-07-02	72.424	0.0	32.06041666666666										31.366
2016-07-01	78.997	0.0	31.84895833333333										31.366
2016-06-30	69.477	0.2	31.947916666666668										31.366
2016-06-29	51.833	0.0	33.05833333333333										30.735
2016-06-28	48.009	0.0	32.139583333333334										30.735
2016-06-27	65.397	0.0	32.190625										32.006
2016-06-26	69.477	0.0	32.48229166666667										32.328
2016-06-25	68.891	0.0	31.88958333333333										32.006
2016-06-24	65.977	0.0	33.401041666666664										32.328
2016-06-23	65.977	0.0	33.38645833333333										31.366
2016-06-22	66.558	0.0	32.88333333333333										31.366
2016-06-21	69.477	0.0	32.411458333333336										32.006
2016-06-20	66.558	0.2	33.896875										32.006
2016-06-19	67.139	0.0	33.015625										31.366
2016-06-18	68.306	0.0	33.92604166666667										28.291
2016-06-17	70.064	0.0	34.35625										27.7
2016-06-16	72.424	0.0	34.63333333333333										32.006
2016-06-15	74.204	0.0	36.65520833333333										34.309
2016-06-14	77.793	0.0	38.22083333333334										35.328
2016-06-13	80.811	0.0	39.58854166666666										36.715
2016-06-12	87.536	0.0	43.19166666666666										38.499
2016-06-11	83.853	0.0	42.09166666666667										40.336
2016-06-10	82.633	0.8	40.084375										41.845
2016-06-09	95.002	1.8	41.35208333333333										47.409
2016-06-08	93.749	0.0	46.57395833333334										49.931
2016-06-07	100.051	3.4000000000000004	50.6625										52.536
2016-06-06	118.809	0.0	58.14166666666666										58.947
2016-06-05	128.106	0.2	64.48333333333333										65.837
2016-06-04	110.963	7.6	67.9375										69.993
2016-06-03	84.465	18.0	46.08020833333333										36.715
2016-06-02	73.61	17.0	34.186458333333334										33.309
2016-06-01	69.477	4.800000000000001	31.296875										32.328
2016-05-31	70.653	0.0	37.075824175824174										32.006
2016-05-30	70.064	0.0	41.784375										30.735
2016-05-29	70.653	0.0	42.16770833333333										30.112
2016-05-28	71.242	0.0	42.78333333333334										29.803
2016-05-27	70.653	0.0	49.66041666666667										31.049
2016-05-26	70.064	0.0	42.063541666666666										31.685
2016-05-25	72.424	0.0	40.815625										32.006
2016-05-24	76.593	0.0	41.458333333333336										32.653
2016-05-23	78.394	0.0	43.00104166666667										34.646
